bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
0.01,courses on artificial intelligence,B,Phrase match,1,93.68151043,1.911280924,93.66
0.01,generative ai training course,C,Exact match,1,15.95314413,1.915585463,15.93
0.01,best ai certification,B,Phrase match,1,32.51119669,1.946985375,32.49
0.01,what to study to become artificial intelligence engineer,C,Exact match,1,1.073838034,1.979371284,1.05
0.01,generative ai stanford course,C,Phrase match,1,8.880044581,2.063184438,8.86
0.01,MIT xPRO AI course,B,Phrase match,1,3.555347105,3.37627003,3.52
0.01,courses about ai,B,Phrase match,1,72.63892768,2.160633633,72.62
0.01,artificial intelligence online program,C,Exact match,1,22.59396664,2.16117836,22.57
0.01,learn how to program ai,C,Exact match,1,35.24669993,2.205787208,35.22
0.01,generative ai courses online,C,Phrase match,1,11.76427814,2.385777766,11.74
0.01,mitx,USA,Broad match,1,259.608361,5.01757584,259.56
0.01,artificial intelligence certification,C,Exact match,1,48.19601134,2.876053856,48.17
0.01,mit ai program,USA,Broad match,1,20.73193346,5.148231556,20.68
0.01,best course for artificial intelligence,C,Exact match,1,47.30090736,2.941068507,47.27
0.01,courses about ai,C,Exact match,1,21.30678784,3.194343562,21.27
0.01,bootcamp ai,C,Phrase match,1,36.93324177,3.248452038,36.90
0.01,best ai classes online,C,Exact match,1,55.31679531,3.368606005,55.28
0.01,MIT xPRO AI course,USA,Phrase match,1,5.529660167,3.394525704,5.50
0.01,artificial intelligence bootcamp online,C,Exact match,1,42.0980369,3.453690645,42.06
0.01,best ai certification,C,Phrase match,1,18.93779432,3.548737419,18.90
0.01,best ai ml courses for working professionals,USA,Exact match,1,45.14007535,3.777422238,45.10
0.01,courses about ai,C,Phrase match,1,21.30678784,3.812907177,21.27
0.01,best ai ml courses for working professionals,B,Exact match,1,13.79785536,3.847308552,13.76
0.01,artificial intelligence training,C,Exact match,1,32.98327359,3.852696728,32.94
0.01,generative ai course,A,Broad match,1,4.614656861,4.585184152,4.57
0.01,mit ai course,A,Broad match,1,13.50067999,4.764676559,13.45
0.01,ai online courses,B,Broad match,1,121.9619817,4.766306119,121.91
0.01,generative ai course,B,Broad match,1,4.614656861,4.909602622,4.57
0.01,generative ai course,USA,Broad match,1,4.614656861,4.909602622,4.57
0.01,generative ai courses,A,Broad match,1,15.45561533,5.107768024,15.40
0.01,mit ai courses,A,Broad match,1,21.15251288,5.170234564,21.10
0.01,best prompting courses,B,Broad match,1,19.07101542,5.382495894,19.02
0.01,generative ai courses,USA,Broad match,1,15.45561533,5.432186494,15.40
0.01,best ai ml courses for working professionals,C,Exact match,1,14.53822276,5.981075503,14.48
0.01,ai class,USA,Broad match,1,62.40340801,6.447533044,62.34
0.01,best ai courses,B,Broad match,1,28.1753743,7.152149048,28.10
0.01,mit xpro ai,A,Broad match,1,12.04951815,7.56181131,11.97
0.01,mit xpro ai,B,Broad match,1,10.56878334,7.872538024,10.49
0.01,mit xpro ai,USA,Broad match,1,12.04951815,7.88622978,11.97
0.01,best ai certification,USA,Broad match,1,5.117602822,6.164236199,5.06
0.01,generative ai courses,B,Broad match,1,15.45561532,5.432186494,15.40
0.01,generative ai fundamentals course,B,Broad match,1,65.05581656,18.29610841,64.87
0.01,generative ai fundamentals course,USA,Broad match,1,67.03012963,18.31436409,66.85
0.01,generative ai fundamentals course,C,Broad match,1,40.62369231,20.51684453,40.42
0.01,generative ai fundamentals course,A,Broad match,1,67.03012963,17.98994562,66.85
0.01,generative ai fundamentals course,USA,Exact match,1,87.02004947,13.09036185,86.89
0.01,generative ai fundamentals,B,Exact match,1,65.39506423,12.67585685,65.27
0.01,generative ai fundamentals,USA,Exact match,1,63.66754029,12.65988313,63.54
0.01,generative ai fundamentals,A,Exact match,1,67.3693773,12.36969405,67.25
0.01,generative ai fundamentals course,B,Exact match,1,60.12003389,12.80166217,59.99
0.01,generative ai fundamentals course,A,Exact match,1,89.24115168,12.78648102,89.11
0.01,machine learning engineer training,USA,Exact match,1,2.252910157,1,2.24
0.01,generative ai course mit,A,Exact match,1,0.109614615,1.000000353,0.10
0.01,best ai classes online,USA,Exact match,1,21.50668397,1.248785527,21.49
0.01,MIT artificial intelligence course,USA,Phrase match,1,3.532019023,1.44119718,3.52
0.01,diploma in artificial intelligence,B,Exact match,1,27.82600656,1,27.82
0.01,MIT artificial intelligence course,B,Phrase match,1,3.532019023,1.44119718,3.52
0.01,ai for product managers,B,Exact match,1,25.21399405,1.896456627,25.20
0.01,courses on artificial intelligence,A,Exact match,1,97.13655828,1.000246269,97.13
0.01,artificial intelligence master's degree online,B,Phrase match,1,2.30605081,1.210102186,2.29
0.01,online ai training courses,B,Broad match,1,7.520472853,6.022396765,7.46
0.01,course generator ai,C,Phrase match,1,23.87354127,2.351220795,23.85
0.01,bootcamp ai,B,Phrase match,1,50.01306585,1.602169948,50.00
0.01,courses about ai,B,Exact match,1,21.30678784,1.027456362,21.30
0.01,mit ai course,USA,Broad match,1,13.50067999,5.089095029,13.45
0.01,courses in generative ai,C,Phrase match,1,0.191743616,1.82582341,0.17
0.01,online artificial intelligence degree,B,Phrase match,1,25.67759105,1.021002994,25.67
0.01,ai related certifications,C,Exact match,1,3.461398868,1.453298467,3.45
0.01,bootcamp ai,USA,Phrase match,1,2.629552157,1.124067641,2.62
0.01,best ai classes online,USA,Phrase match,1,69.1369868,2.347733408,69.11
0.01,courses on artificial intelligence,USA,Phrase match,1,97.63013655,1.947792273,97.61
0.01,courses on artificial intelligence,C,Phrase match,1,93.68151041,4.078168125,93.64
0.01,courses on artificial intelligence,C,Exact match,1,92.20077561,3.485878881,92.17
0.01,artificial intelligence training,B,Exact match,1,4.35573406,1.06140711,4.35
0.01,artificial intelligence workshop,A,Phrase match,1,17.0505519,1,17.04
0.01,course generator ai,B,Exact match,1,25.10748697,1,25.10
0.01,coursera generative ai,A,Exact match,1,67.08409433,1,67.07
0.01,ai related certifications,A,Phrase match,1,56.27427351,1,56.26
0.01,ai related certifications,B,Phrase match,1,56.27427351,1,56.26
0.01,mit,USA,Broad match,1,1738.914352,25.23031345,1738.66
0.01,best course for artificial intelligence,USA,Phrase match,1,2.632074132,1,2.62
0.01,mba in ai,USA,Exact match,1,61.59934665,1,61.59
0.01,generative ai courses online,A,Exact match,1,27.06520443,1,27.06
0.01,course generator ai,A,Phrase match,1,25.60106521,1,25.59
0.01,course on machine learning and artificial intelligence,A,Phrase match,1,3.124332882,1,3.11
0.01,certification in machine learning and ai,B,Phrase match,1,5.783697877,1,5.77
0.01,online artificial intelligence degree,B,Exact match,1,14.07850176,1,14.07
0.01,best course on artificial intelligence,A,Exact match,1,26.82342492,1.000000353,26.81
0.01,course on machine learning and artificial intelligence,USA,Phrase match,1,12.2555308,1.000000353,12.25
0.01,artificial intelligence certification,A,Exact match,1,2.540021541,1.000000353,2.53
0.01,course on machine learning and artificial intelligence,B,Phrase match,1,6.826169854,1.000000353,6.82
0.01,generative ai stanford course,A,Phrase match,1,6.658942325,1.000000353,6.65
0.01,generative ai course stanford,A,Exact match,1,6.661130096,1.000000353,6.65
0.01,artificial intelligence specialist certification,B,Exact match,1,12.71456774,1.000000353,12.70
0.01,artificial intelligence specialist certification,USA,Exact match,1,12.71456774,1.000000353,12.70
0.01,course in generative ai,B,Phrase match,1,6.788456983,1.000000353,6.78
0.01,ai learning course,A,Exact match,1,2.297065378,1.000000353,2.29
0.01,what to study to become artificial intelligence engineer,B,Exact match,1,9.217879397,1.000000353,9.21
0.01,certification for artificial intelligence,B,Exact match,1,8.764804222,1.000000353,8.75
0.01,what to study to become artificial intelligence engineer,A,Exact match,1,8.72430113,1.000000353,8.71
